commit_hash,contains_bug,nf,ns,ent,nrev,tcmt,hcmt,age,rexp,oexp,orexp,osexp,decl type name,expr call argument_list,call argument_list if,argument_list if condition,if condition expr,condition expr name,name if condition,condition expr operator,operator if condition,decl type modifier,condition expr call,call name if,name name if,name operator if,if block expr,comment decl type,decl name name,decl name operator,expr name name,expr name operator,argument_list if block
d49c561b7374bf72684c6eaea6e65c71f69e0150,1,6,3,0.556527877,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
22b7d211865c1505862627a2e65bcd063e314e45,1,5,2,0.343048046,2,17,8,0.0,0,0,0,0,53,8,0,0,62,23,0,41,0,10,28,0,0,0,25,1,0,0,50,25,0
0f7cba14f612885151a95c590b23c5fe25efdd05,1,17,2,0.727024978,0,0,0,0.0,0,0,0,0,210,102,12,8,457,340,80,186,77,22,94,6,140,69,245,2,58,29,352,168,6
a74f09044e705955fa837925d2fb9ce533660fcf,1,1,1,0.0,0,0,0,0.0,0,0,0,0,5,26,22,3,83,4,10,23,8,1,56,3,47,23,27,0,0,0,4,2,19
d27fb341ec55121b48ac0ac6ece8214dc9b99e64,1,2,2,0.326258815,0,0,0,0.0,0,0,0,0,17,20,10,3,25,0,6,5,3,4,20,15,0,0,0,0,0,0,24,12,7
574e7e44d335273a888784c3a2eeedebe5d4e9ca,1,1,1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0fbeed69a42415b375e33a9c8dcceff887a5df1c,1,2,2,0.587311609,0,0,0,0.0,0,0,0,0,2,5,3,1,14,6,6,3,4,1,4,4,4,1,9,0,0,0,1,0,2
5346d77e8ccba0a7bfb0cc1f257a26865a1c9d42,1,2,1,0.337290067,0,0,0,0.0,0,0,0,0,2,7,5,3,13,3,5,2,5,0,8,3,11,7,16,1,7,4,2,1,2
068545f2cd5b257c1691a28f814ff149d167ceec,0,1,1,0.0,0,0,0,0.0,0,0,0,0,13,7,0,0,29,16,0,5,0,2,8,0,0,0,40,0,0,0,13,6,0
764840ec0e189b4a9f76cdd659d82a2a50324190,1,3,2,0.821945742,2,13,7,0.0,1,1,1,1,54,16,0,0,12,18,4,9,2,16,0,0,14,6,0,2,12,6,8,0,0
6d3044db9578d14b11dc7d156e2d81709c3d0ed7,1,2,1,0.999010271,0,0,0,0.0,0,0,0,0,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0
83ecb25998aa41ae4f8dc48dd6a96cfe7e87a67f,1,19,2,0.736365756,0,0,0,0.0,0,0,0,0,121,63,7,6,198,67,13,32,13,9,119,1,12,7,237,4,23,14,302,186,1
49fc8921293b664d8ec48a399c4e5ee77f5d3176,1,1,1,0.0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d3e5fc0220e57d5a9bba35780915c53790ff249f,1,6,2,0.755320832,1,14,2,0.0,0,0,0,0,97,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,14,47,20,0
1ad3814a56ded1852efb3389edd03866699412f6,1,2,1,0.446481347,0,0,0,0.0,0,0,0,0,5,12,12,0,53,14,2,9,1,1,30,11,45,24,49,0,0,0,14,7,12
